Item,Pieces in PL,Ctns in PL,Pieces in Poitm,Ctns in Poitm,Availability
894807,300.0,75.0,328,82,Both
894814,300.0,75.0,316,79,Both
894822,300.0,75.0,316,79,Both
895108,92.0,23.0,112,28,Both
895522,156.0,39.0,160,40,Both
895526,152.0,38.0,188,47,Both
895528,52.0,13.0,80,20,Both
895529,116.0,29.0,120,30,Both
895535,56.0,14.0,64,16,Both
895536,60.0,15.0,64,16,Both
895541,140.0,35.0,168,42,Both
895546,40.0,10.0,96,24,Both
895720,300.0,75.0,328,82,Both
895895,21.0,7.0,51,17,Both
895908,84.0,28.0,165,55,Both
896123,60.0,12.0,195,39,Both
896215,45.0,15.0,66,22,Both
897966,108.0,36.0,378,126,Both
897967,54.0,18.0,270,90,Both
897968,108.0,36.0,378,126,Both
897970,108.0,36.0,378,126,Both
897974,54.0,18.0,270,90,Both
898075,27.0,9.0,135,45,Both
898076,54.0,18.0,189,63,Both
898091,108.0,36.0,135,45,Both
898170,15.0,5.0,93,31,Both
898177,162.0,54.0,270,90,Both
894809,,,52,13,POITM
894815,,,52,13,POITM
894845,,,60,15,POITM
895003,,,76,19,POITM
895004,,,76,19,POITM
895005,,,124,31,POITM
895006,,,92,23,POITM
895007,,,92,23,POITM
895010,,,92,23,POITM
895013,,,152,38,POITM
895017,,,112,28,POITM
895024,,,76,19,POITM
895026,,,76,19,POITM
895027,,,124,31,POITM
895028,,,92,23,POITM
895059,,,80,20,POITM
895060,,,52,13,POITM
895483,,,64,16,POITM
895485,,,68,17,POITM
895486,,,56,14,POITM
895490,,,52,13,POITM
895492,,,88,22,POITM
895499,,,80,20,POITM
895501,,,56,14,POITM
895508,,,56,14,POITM
895510,,,56,14,POITM
895523,,,120,30,POITM
895524,,,80,20,POITM
895721,,,164,41,POITM
895723,,,200,50,POITM
895726,,,160,40,POITM
895727,,,184,46,POITM
895729,,,76,19,POITM
895731,,,276,69,POITM
895732,,,276,69,POITM
895734,,,276,69,POITM
895736,,,80,20,POITM
895751,,,52,13,POITM
895752,,,52,13,POITM
895754,,,52,13,POITM
895871,,,63,21,POITM
895873,,,57,19,POITM
895875,,,51,17,POITM
895877,,,87,29,POITM
895878,,,87,29,POITM
895880,,,66,22,POITM
895897,,,144,48,POITM
895898,,,114,38,POITM
895900,,,87,29,POITM
895904,,,120,40,POITM
895906,,,51,17,POITM
895911,,,189,63,POITM
895915,,,105,35,POITM
895917,,,90,30,POITM
895919,,,120,40,POITM
896114,,,140,28,POITM
896116,,,85,17,POITM
896119,,,590,118,POITM
896129,,,90,18,POITM
896130,,,80,16,POITM
896134,,,50,10,POITM
896140,,,120,24,POITM
896141,,,55,11,POITM
896214,,,114,38,POITM
897825,,,81,27,POITM
897853,,,57,19,POITM
897860,,,57,19,POITM
897963,,,378,126,POITM
897965,,,135,45,POITM
897969,,,135,45,POITM
897986,,,60,20,POITM
897987,,,57,19,POITM
897996,,,51,17,POITM
898041,,,57,19,POITM
898052,,,81,27,POITM
898069,,,378,126,POITM
898070,,,135,45,POITM
898095,,,108,36,POITM
898096,,,216,72,POITM
898105,,,51,17,POITM
898163,,,57,19,POITM
898169,,,69,23,POITM
898174,,,378,126,POITM
898178,,,51,17,POITM
898183,,,51,17,POITM
898184,,,60,20,POITM
898191,,,51,17,POITM
898912,,,480,96,POITM
898913,,,240,48,POITM
898915,,,480,96,POITM
898916,,,240,48,POITM
898920,,,320,64,POITM
898921,,,160,32,POITM
898927,,,160,32,POITM
898928,,,80,16,POITM
898930,,,160,32,POITM
898933,,,80,16,POITM
898935,,,160,32,POITM
898938,,,80,16,POITM
898939,,,200,40,POITM
898941,,,120,24,POITM
