Item Code,Number of Pieces,Number of Cartons
894807,300,75
894810,176,44
894811,192,48
894812,52,13
894814,300,75
894816,276,69
894817,192,48
894822,300,75
894824,276,69
894826,276,69
894827,52,13
894860,52,13
895040,64,16
895044,60,15
895046,80,20
895047,112,28
895048,144,36
895050,80,20
895055,64,16
895057,64,16
895058,52,13
895068,240,60
895100,108,27
895101,108,27
895102,168,42
895103,288,72
895104,140,35
895105,68,17
895106,80,20
895107,68,17
895108,92,23
895109,52,13
895110,80,20
895111,52,13
895112,64,16
895113,52,13
895515,240,60
895521,160,40
895522,156,39
895525,80,20
895526,152,38
895528,52,13
895529,116,29
895535,56,14
895536,60,15
895537,336,84
895539,168,42
895540,168,42
895541,140,35
895546,40,10
895547,96,24
895610,84,21
895720,300,75
895768,404,101
895769,256,64
895770,240,60
895776,328,82
895777,140,35
895778,116,29
895784,252,63
895785,100,25
895786,88,22
895817,51,17
895818,54,18
895819,54,18
895824,51,17
895825,54,18
895826,54,18
895895,21,7
895903,105,35
895908,84,28
895909,189,63
896118,640,128
896121,250,50
896123,60,12
896155,70,14
896215,45,15
896225,108,36
896230,108,36
897966,108,36
897967,54,18
897968,108,36
897970,108,36
897974,54,18
898012,75,25
898021,75,25
898022,108,36
898053,120,40
898075,27,9
898076,54,18
898091,108,36
898092,108,36
898107,81,27
898108,51,17
898109,51,17
898112,72,24
898115,54,18
898170,15,5
898171,51,17
898177,162,54
898185,51,17
